1,RAGOÛT DE LENTILLES,null,0,"1.Dans une casserole à feu moyen-élevé, dorer l’oignon, la carotte, le céleri et l’ail dans 15 ml (1 c. à soupe) de l’huile. Ajouter les lentilles et bien mélanger. Ajouter le bouillon, l’eau, la pâte de tomates, la moutarde et les herbes. Porter à ébullition. Couvrir et laisser mijoter à feu doux 40 minutes ou jusqu’à ce que les lentilles soient tendres. Retirer la branche de thym et la feuille de laurier. Saler et poivrer.2.Entre-temps, dans une grande poêle antiadhésive à feu moyen-élevé, dorer les champignons dans 30 ml (2 c. à soupe) de l’huile. Saler et poivrer. Réserver sur une assiette.3.Dans la même poêle à feu moyen-élevé, cuire les choux de Bruxelles al dente dans le reste de l’huile, soit de 2 à 3 minutes. Saler et poivrer.4.Ajouter les champignons et les choux de Bruxelles à la préparation de lentilles. Poursuivre la cuisson 2 minutes en remuant. Ajouter du bouillon au besoin. Rectifier l’assaisonnement.5.Servir le ragoût. Garnir des dés de tomate. Arroser d’un filet d’huile d’olive et accompagner de tranches de pain de campagne, si désiré.",25,70
2,ROTI DE TRINIDAD,null,0,"Cari de légumes1.Dans une poêle, attendrir l’oignon dans l’huile. Ajouter l’ail, le gingembre, le thym, le piment et le cari et poursuivre la cuisson 1 minute. Ajouter les pois chiches, les pommes de terre et l’eau. Porter à ébullition et laisser mijoter 20 minutes ou jusqu’à ce que les pommes de terre soient tendres. Ajouter les petits pois et les oignons verts. Laisser mijoter 2 minutes en écrasant quelques pommes de terre à l’aide d’une fourchette afin que le cari soit plus épais. Saler et poivrer. Réserver au chaud.Pois cassés2.Entre-temps, dans une petite casserole, attendrir l’oignon dans l’huile. Ajouter les pois et les épices et cuire 1 minute pour bien enrober les pois. Verser l’eau. Saler. Porter à ébullition et laisser mijoter 20 minutes ou jusqu’à ce que les pois soient cuits mais encore un peu fermes et que l’eau soit absorbée.3.Au robot culinaire, hacher les pois jusqu’à ce qu’ils aient la grosseur de miettes de pain. Réserver.Pâte4.Dans un bol, mélanger les farines, la poudre à pâte et le sel. Ajouter l’eau et l’huile. Bien mélanger à l’aide d’une cuillère de bois pour former une boule. Sur un plan de travail légèrement fariné, pétrir la pâte de 1 à 2 minutes ou jusqu’à ce qu’elle soit complètement lisse. Emballer la pâte de pellicule plastique et laisser reposer 10 minutes.5.Couper la pâte en 8 parts égales. Façonner chaque part en un disque d’environ 13 cm (5 po) de diamètre. Déposer 30 ml (2 c. à soupe) de mélange de pois cassés au centre d’un disque. Refermer la pâte en la rabattant vers le centre. Poursuivre avec le reste des ingrédients. Emballer chaque boule de pâte de pellicule plastique ou couvrir d’un linge.6.Sur un plan de travail légèrement fariné, abaisser chaque boule de pâte en une galette d’environ 25 cm (10 po) de diamètre.7.Dans une grande poêle antiadhésive badigeonnée de beurre fondu, à feu moyen élevé, cuire les galettes une à la fois 1 minute de chaque côté. Réserver sur une assiette et couvrir d’un linge.8.Répartir 250 ml (1 tasse) de cari de légumes au centre de chaque galette. Refermer les galettes en repliant la pâte de chaque côté. Retourner afin que les plis soient dessous. Si désiré, servir avec de la sauce au tamarin (voir recette) et de la sauce piquante au habanero.",75,135
3,TOFU MAISON,null,0,"1.Placer les fèves dans un grand bol. Couvrir d’eau et faire tremper 12 heures à la température ambiante. Ajouter de l’eau au besoin afin que les fèves soient toujours bien submergées. Égoutter et rincer. Réserver.2.Tapisser une passoire de huit épaisseurs de coton étamine en les laissant dépasser sur les côtés. Déposer la passoire au-dessus d’une casserole. Dans un petit bol, diluer le sel dans l’eau. Réserver.3.Au mélangeur, réduire en purée lisse la moitié des fèves avec 500 ml (2 tasses) de l’eau bouillante environ 2 minutes. Verser le mélange dans la passoire. Répéter avec le reste des fèves et 500 ml (2 tasses) de l’eau bouillante. Verser le reste de l’eau bouillante dans la passoire. Laisser égoutter 5 minutes. Rabattre les bandes de coton pour former un baluchon. À l’aide d’un pilon à pommes de terre, presser le baluchon pour extraire le plus de liquide possible afin d’obtenir environ 2 litres (8 tasses). Jeter la pulpe des fèves.4.À feu moyen, cuire le liquide obtenu en remuant constamment à l’aide d’une cuillère de bois jusqu’à ce que le mélange atteigne 90 °C (194 °F), soit environ 30 minutes. Retirer du feu. Verser graduellement le mélange de sel d’Epsom en formant lentement un S à l’aide de la cuillère. Ne pas mélanger davantage. Couvrir et laisser reposer 20 minutes sans remuer afin que le liquide coagule.5.Placer un moule à tofu (voir p. 158) ou un tamis, tapissé de quatre épaisseurs de coton étamine au-dessus d’un bol profond. À l’aide d’une écumoire, prélever délicatement les morceaux coagulés et les déposer dans le moule. Replier le coton sur le tofu. Placer une assiette ou une petite planche et un poids d’environ 1 kg (1 grosse boîte de conserve par exemple) sur le tofu afin d’extraire le plus de liquide. Laisser reposer au moins 30 minutes en jetant l’eau au besoin afin que le moule soit toujours au sec. Plus le tofu sera pressé, plus il sera ferme.6.Plonger le tofu emballé du coton étamine dans de l’eau glacée 5 minutes pour le raffermir. Retirer le coton étamine. Le tofu se conserve 5 jours dans un contenant hermétique et couvert d’eau au réfrigérateur, en changeant l’eau chaque jour.",30,60
4,"BOL-REPAS AU RIZ, BRUN, LENTILLES, CAROTTES ET RAISINS",null,0,"Vinaigrette1.Dans un petit bol, mélanger le vinaigre et l’huile. Saler et poivrer. Réserver.Bol2.Dans un bol, mélanger les carottes avec le jus de citron. Saler. Parsemer de graines de pavot, si désiré.3.Dans un autre bol, mélanger le riz et les oignons verts.4.Dans de grands bols, répartir le riz brun, les lentilles, les carottes et le reste des ingrédients. Arroser de la vinaigrette au moment de servir.",35,35
5,TEMPEH GRILLÉ ET SALADE DE CAROTTES AU LAIT DE COCO,null,0,"Vinaigrette1.Dans une petite casserole, mélanger tous les ingrédients à l’aide d’un fouet. Porter à ébullition. Laisser tiédir. Réserver 125 ml (½ tasse) de la vinaigrette pour le service. Transvider le reste dans un grand bol.Salade2.Dans une grande poêle antiadhésive à feu moyen-élevé, dorer le tempeh dans l’huile, soit environ 5 minutes. Saler et poivrer. Égoutter sur du papier absorbant. Réserver.3.Ajouter les carottes, les fèves germées et la coriandre dans le grand bol avec la vinaigrette. Saler, poivrer et bien mélanger.4.Dans des assiettes creuses, répartir le tempeh et la salade. Parsemer d’arachides et arroser de la vinaigrette réservée. Servir avec du riz et des quartiers de lime.",30,40
6,VÉGÉ BURGER AU FROMAGE GRILLÉ,null,0,"Mayonnaise au citron1.Dans un bol, mélanger tous les ingrédients. Réserver.Burgers2.Dans un petit bol, déposer l’oignon. Couvrir d’eau froide. Ajouter le sucre et le sel. Laisser macérer 15 minutes. Égoutter (voir note).3.Dans une poêle antiadhésive à feu moyen, dorer l’aubergine dans 30 ml (2 c. à soupe) d’huile jusqu’à ce qu’elle soit tendre, soit environ 4 minutes de chaque côté. Saler légèrement et poivrer. Réserver dans une assiette.4.Dans la même poêle à feu moyen, attendrir la courgette dans 15 ml (1 c. à soupe) d’huile. Saler légèrement et poivrer. Réserver avec l’aubergine.5.Dans la même poêle à feu élevé, dorer le fromage dans le reste de l’huile, soit environ 1 minute de chaque côté.6.Tartiner les pains de mayonnaise au citron. Garnir les burgers de laitue, d’aubergine, du fromage, de tomate, de courgette et d’oignon.",15,30
7,BOULETTES DE TOFU,null,0,"Sauce1.Dans un petit bol, mélanger tous les ingrédients.Boulettes de tofu2.Au robot culinaire, hacher finement l’ail et l’oignon vert. Ajouter le tofu et mélanger quelques secondes pour l’émietter. Ajouter le reste des ingrédients, à l’exception de l’huile végétale. Poivrer et mélanger jusqu’à l’obtention d’une pâte lisse.3.Façonner des boulettes avec 15 ml (1 c. à soupe) du mélange pour chacune.4.Dans une grande poêle antiadhésive à feu moyen-élevé, cuire les boulettes dans l’huile végétale 5 minutes ou jusqu’à ce qu’elles soient bien dorées. Égoutter sur du papier absorbant.5.Servir les boulettes avec la sauce.",30,35
8,"BOL DE QUINOA, LÉGUMES MARINÉS ET EDAMANES",null,0,"1.Dans un grand bol, mélanger le vinaigre avec le sucre et le piment jusqu’à ce que le sucre soit dissous. Ajouter le chou, les concombres et la carotte. Saler, poivrer et mélanger. Laisser macérer, le temps de cuire le quinoa.2.Dans une casserole d’eau bouillante salée, cuire le quinoa 15 minutes ou jusqu’à ce qu’il soit tendre. Égoutter et laisser tiédir.3.Dans une autre casserole d’eau bouillante salée, cuire les fèves de soya 4 minutes ou jusqu’à ce qu’elles soient al dente. Les plonger dans de l’eau glacée jusqu’à refroidissement complet. Égoutter.4.Répartir le quinoa dans des bols. Ajouter les légumes marinés et les edamames. Garnir de coriandre. Délicieux avec du poulet cuit, des tranches de bifteck grillé ou des boulettes de tofu (voir recette).",20,35
9,TOFU CARAMÉLISÉ AUX GRAINES DE CITROUILLE,null,0,"1.Dans une grande poêle antiadhésive à feu moyen-élevé, dorer le tofu dans l’huile, soit environ 6 minutes. Saler et poivrer. Ajouter le bouillon, le sirop d’érable, le vinaigre, l’ail et le piment. Laisser réduire jusqu’à ce que le liquide soit évaporé et que le tofu commence à caraméliser.2.Ajouter les graines de citrouille et les oignons verts. Poursuivre la cuisson 30 secondes en remuant à la cuillère de bois pour bien enrober le tofu.3.Délicieux avec l’orge aux champignons ou du riz basmati.",15,30
10,TOFU AU MISO ET À LA TOMATE,null,0,"Sauce1.Dans un bol, mélanger tous les ingrédients. Réserver.Tofu2.Dans une casserole d’eau bouillante salée, cuire les cubes de tofu 5 minutes. Égoutter. (Cette étape est facultative, voir note).3.Dans une grande poêle antiadhésive à feu moyen-élevé, dorer le tofu, l’ail et le piment dans l’huile. Ajouter le cinq-épices, la pâte de miso et la pâte de tomates. Cuire 2 minutes. Ajouter la sauce, porter à ébullition et poursuivre la cuisson 8 minutes ou jusqu’à ce que la sauce épaississe légèrement.Garniture4.Incorporer les pois mange-tout, les fèves germées et la coriandre. Servir avec des vermicelles de riz.",20,40
